Number,BookID,宋刻本,年份,版面长宽(CM),列数,每列字数,四部,区域划分,省份,地点,刻体倾向,形态
1,01_1127_尚书正义,尚书正义,1127,22*16.3,"16(大) / 32(小)","20或19(大) / 19(小)",经部,两浙地区,浙江,浙东路茶盐司,近欧型,瘦长
2,02_1127_长短经,长短经,1127,22*15.2,22,"20(大) / 26-29",子部,两浙地区,浙江,杭州净戒院,近欧型,瘦长
3,03_1127_周易注疏,周易注疏,1127,21*16.3,16,"19(大) / 19或20(小)",经部,两浙地区,浙江,浙东路茶盐司,近欧型,扁肥粗壮
4,04_1131_资治通鉴,资治通鉴,1132,20.4*14.8,24,24,史部,两浙地区,浙江,浙东路茶盐司,欧颜型,
5,05_1139_汉官仪,汉官仪,1139,24.3*16.3,20,15/17/18,子部,两浙地区,浙江,临安府,近柳型,爽利挺秀
6,06_1139_文粹,文粹,1139,23.4*16.4,26,22/23/24/25/26/27,集部,两浙地区,浙江,临安府,近欧型,瘦长
7,07_1139_文选,文选,1139,21.5*24.2,20,"18(大) / 23(小)",集部,两浙地区,/,/,欧颜型,
8,08_1146_事类赋,事类赋,1146,22.2*15.9,16,"20(大) / 23(小)（再说）",子部,两浙地区,浙江,浙东路茶盐司,近欧型,瘦长
9,09_1147_古三坟书,三古坟书,1147,22.1*15.4,20,18,经部,两浙地区,浙江,婺州州学「金华」,近颜型,横细竖粗
10,10_1148_花间集,花间集,1148,18.4*12.3,16,17,集部,江淮湖广,江苏,建康郡斋「南京」,近颜型,细瘦
11,11_1152_抱朴子,抱朴子,1152,19.6*12.2,30,28,子部,两浙地区,浙江,临安府,欧颜型,宽博
12,12_1165_陈书,陈书,1165,22.4*18.8,18,18,史部,两浙地区,/,/,扁方欧体,扁肥劲瘦
13,13_1165_诸史提要,诸史提要,1165,23.4*17,18,14,史部,两浙地区,浙江,绍兴府,近欧型,瘦长
14,14_1167_论衡,论衡,1167,21.5*15.4,20,19/20/21,子部,两浙地区,浙江,绍兴府,扁方欧体,
15,15_1169_钜宋广韵,钜宋广韵,1169,20.3*14.7,24,21,经部,福建地区,福建,建宁府,欧颜型,"细瘦,粗细如一"
16,16_1170_洪氏集验方,洪氏集验方,1170,18.3*14.2,18,15/16,子部,江淮湖广,安徽,当涂姑熟郡斋乾道,,
17,17_1171_史记,史记,1171,18.9*13.4,24,20/21,史部,福建地区,福建,建阳府 蔡梦弼东塾,仿欧型,
18,18_1171_韦苏州集,韦苏州集,1171,16.8*12.7,20,18,集部,两浙地区,江苏,平江府,近欧型,瘦长
19,19_1175_新定三礼图,新定三礼图,1175,21.7*16.5,32,27/28/30,经部,两浙地区,江苏,镇江府,欧颜型,
20,20_1176_大易粹言,大易粹言,1176,22*17.8,20,20,经部,江淮湖广,安徽,舒州共史库「安庆」,,爽利挺秀
21,21_1178_窦氏联珠集,窦氏联珠集,1178,21.1*11.7,18,17,集部,江淮湖广,湖北,/,近褚型,别具一格
22,22_1191_春秋公羊经传解诂,春秋公羊经传解诂,1191,18*12.5,22,18/19,经部,福建地区,福建,建阳府 万卷堂,,"粗细比值较小"
23,23_1191_鲍氏国策,鲍氏国策,1191,21*15.7,22,20,史部,两浙地区,浙江,会稽郡斋「绍兴」,"近欧型,逐步程式化","横竖 / 粗细比值增大"
24,24_1192_礼记正义,礼记正义,1192,21.5*16.7,24,20,经部,两浙地区,浙江,浙东路茶盐司,"近欧型,逐步程式化","横竖 / 粗细比值增大"
25,25_1193_春秋公羊经传解诂,春秋公羊经传解诂,1193,21.1*15.6,20,16,经部,江淮湖广,江西,抚州公史库,近颜型,"方正平缓 / 布白均衡"
26,26_1195_中庸辑略,中庸辑略,1195,18.6*14.2,14,15,经部,两浙地区,/,/,扁方欧体,扁肥粗壮
27,27_1196_欧阳文忠公集,欧阳文忠公集,1196,21.5*15.4,20,16,集部,江淮湖广,江西,/,北齐刻经体,
28,28_1200_春秋左传正义,春秋左传正义,1200,21.7*17.5,16,16,经部,两浙地区,浙江,绍兴府,"近欧型,逐步程式化","横竖 / 粗细比值增大"
29,29_1207_昆山杂咏,昆山杂咏,1207,24.8*17,16,15/18,集部,两浙地区,江苏,昆山县斋,行楷,粗细如一
30,30_1213_周髀算经,周髀算经,1213,21.1*15.5,18,18,子部,福建地区,/,/,,略扁
31,31_1220_广韵,广韵,1220,21.9*15.4,18,20,经部,两浙地区,浙江,临安府,"近欧型,逐步程式化","横竖 / 粗细比值增大"
32,32_1220_渭南文集,渭南文集,1220,15.9*13,20,17,集部,两浙地区,江苏,陆子口溧阳学宫,"近欧型,逐步程式化","横竖 / 粗细比值增大"
33,33_1226_东汉会要,东汉会要,1226,23.4*16.7,22,20,史部,福建地区,福建,建宁府,欧柳型,"偏圆,字小"
34,34_1230_切韻指掌图,切韻指掌图,1230,25.5*17.6,16,16,经部,两浙地区,浙江,越州「绍兴」,扁方欧体,扁圆
35,35_1257_通鑑纪事本末,通鑑纪事本末,1257,25.3*20,22,19,史部,两浙地区,浙江,延陵郡,扁方欧体,"横竖 / 粗细比值增大,字距愈宽"
36,36_1259_开庆四明续志,开庆四明续志,1259,25.9*20.5,20,18,史部,两浙地区,,,扁方欧体,扁圆
37,37_1267_邵子观物篇渔樵问对,邵子观物篇渔樵问对,1267,21.4*15.5,20,18,子部,福建地区,福建,漕治 吴坚,,"偏圆,方硬"
38,38_1273_无文印,无文印,1273,18*12,22,20,集部,两浙地区,/,/,书棚体,"横平竖直 / 横细竖粗 / 左右对称 / 方硬呆板"
